qubit,0
update_date,2022-08-25 16:00:28-04:00
T1,80.59812937435879
T2,69.11365605566341
freq,5.1575410153306525
readout_err,-0.3415245174784648
pm0p1,0.02210000000000001
pm1p0,0.02200000000000002
id_error,0.0035
id_len,35.55555555555556
u1_error,0.0035
u1_len,35.55555555555556
u2_error,0.0035
u2_len,35.55555555555556
u3_error,0.0035
u3_len,35.55555555555556
itr,32
shots,8192
End
qubit,1
update_date,2022-08-25 16:00:28-04:00
T1,66.19129424016938
T2,61.954108837084696
freq,5.033688915011958
readout_err,-0.3443687022163673
pm0p1,0.017900000000000027
pm1p0,0.01880000000000004
id_error,0.00617233651246724
id_len,35.55555555555556
u1_error,0.0003154898510084218
u1_len,35.55555555555556
u2_error,0.0002902468585229857
u2_len,35.55555555555556
u3_error,0
u3_len,0
itr,32
shots,8192
End
